toan,ly,hoa,sinh,van,anh,lich_su,dia_ly,tin_hoc,nganh_hoc
5.621780831931537,5.61548572926689,8.109988176929793,7.467011978605218,5.092384288430916,8.930656043874938,8.190886421823166,3.298627716348968,8.727151167270478,2
9.655000144869414,5.3303846736198235,4.291583969190981,6.215047174739352,3.663724426134406,6.461619306035593,9.167713125674219,8.79953233773611,4.016888336688388,2
8.123957592679837,4.23307738752002,5.426477860589204,9.751489674047587,3.884514574805512,4.3682592744253,6.242259127653007,4.745153075815853,9.625246567136855,0
7.190609389379256,7.250866690710415,7.642964458004728,4.532849156889667,4.264697897266453,8.156492506270649,5.024251121713853,4.987561550491082,8.902568806725785,0
4.092130483097056,6.336369123560402,6.37462541167136,7.114994911992585,4.425573340554639,5.93074694978307,5.23192602048823,4.583716948442059,9.43197308763335,0
4.091961642353418,9.059906946268026,8.169997270444256,7.901470104931558,4.695832664473809,7.162392384167481,7.878637808550757,8.880587686553735,4.9995108483819894,2
3.406585285177396,3.224767063374408,9.728455308560019,8.77895142541767,4.78822020274446,3.7508570312175715,6.972906237940473,9.852313967844117,5.348989574025181,4
9.063233020424546,7.5070754928858845,3.8158268140063827,5.8487972129960495,6.190014418412751,7.421087926611946,6.4054589168408,8.286306556510247,6.289478041809463,1
7.207805082202461,8.340642149580928,7.966974014786427,7.808453353602371,6.567012335782289,5.61485342261587,4.4194185514332185,8.765045023284332,4.5694046660407395,2
7.956508044572319,8.316405984318148,4.612409089424801,5.12241029968998,5.162154456884492,5.339328248029461,9.128189812492323,7.343503223635364,6.257958123132937,0
3.144091460070617,9.202517769668676,5.901337091852985,6.048332646532742,9.351074939445098,9.859409051444608,8.467143132551843,6.70142435877535,3.0644117990314954,6
9.78936896513396,8.103236199806458,3.230039080565979,9.269389918423794,6.871978063372682,6.02701449932173,3.984470212174607,8.051046033533606,9.142755997032783,0
8.827098485602953,9.494670431533875,3.9513516760488927,9.64935326531668,8.512338496233848,7.746268646810139,5.571719182214957,3.250340151643542,4.136058281064127,3
4.486373774747933,5.32859619874624,5.238441023342298,8.031721428490853,9.469664826945904,7.394092749016887,6.79492465547224,3.429803679223777,6.505934802359161,5
4.272774770449704,6.522465917260801,5.393900637015895,5.620463235433295,4.141945802030636,3.7301248561961033,6.180370359400724,7.810914420033286,9.501785449097754,0
4.283831568974037,3.098557642980235,9.29709651523467,8.740404529822648,5.9951213860094414,8.235492759450214,5.784570871164169,5.3454897521094065,8.746877798281245,2
5.1296957007167645,3.0487031111230385,8.192690364865605,3.1810695720779414,6.032472812002261,5.262114424035035,8.031823282923705,6.421840495137923,8.43287204636627,6
6.673295021425664,4.680886343160639,9.805280777309289,3.719221373775947,5.4813057530684794,8.592576844377145,3.381524529664862,8.47394794561937,7.238119475157747,0
6.023615130494811,3.705650379973597,7.193500572346684,7.629616154627528,3.06234106586148,7.253485478307677,6.299872373881593,7.040105358848537,6.053914401190259,2
5.038603981386293,4.821479575550275,4.691996124639226,5.038740026890402,8.711804754446664,5.219640429674427,4.8352718327272095,8.636833122641404,6.122261597270436,5
7.282970263056656,4.239303061698782,5.2935852094515,9.659703528803345,3.7809152508773196,5.494050722317496,3.5923286966433126,5.934086695194504,3.608759221032013,2
3.9764570245642927,3.1996401738705376,5.238851463043769,6.052424284646133,9.968364185452312,8.120551587664526,6.254210106020759,5.011963470800813,3.4535016870297457,5
5.045012539746527,9.365129024842346,5.285460293642761,6.0055537427242385,8.410709443378272,6.850415205860173,4.199580837493981,4.643858362187082,8.90406963270146,2
5.5645329030558415,3.057561919722241,7.7107492117827094,7.7465565713365185,7.060070123245602,7.678457284699206,4.807569973231461,3.9217666575123795,5.860564613209534,5
6.192489889519251,8.152575010359598,6.715655496632913,8.372979936143327,4.082244924191182,4.108228247526318,6.549061106570532,3.2575756559177087,3.3781123246420477,2
8.496231729751095,4.0650352084366155,5.69796924660651,6.3289111668759555,6.607750799752729,8.508836705598931,9.815962859529751,3.372043109783832,7.6413799193835645,1
4.397716475108519,9.3856073539972,4.043628381101016,4.498006311982069,4.827761186004662,5.242739232405243,7.789785047624891,4.896991789929699,7.783116803371448,3
6.599641068895281,9.2495715771292,3.154974140595021,8.413160499079352,4.766257671801487,7.339028870103713,4.957352587097773,4.94888816041199,4.592082506903055,2
7.146901982034297,7.577308024584801,4.531842743113848,5.242458924115393,8.806704745677397,3.802758776694061,5.676842368027636,5.672491703232475,5.875037128523479,0
3.325152889039984,7.705639048604236,3.752299827780769,4.225775385057004,5.664510967716042,5.249941688098769,5.84293206624684,7.141321598676539,7.013968479761593,7
7.252813963310069,3.0373739937878197,8.498115215965676,7.4214813294750925,6.155066623735628,7.542071051466492,4.075463363410639,8.315096745924425,7.17397235823606,4
4.193668865811041,9.894100962795214,3.7874857046971977,3.633175668932453,8.900753164460827,4.9194429260317545,4.124579322017765,4.383935056411301,6.577808448205673,3
